ID,Activity_Name,Expected_Start_Date,Contractor_Name,Region,Complexity_Level
116,اللياسة الداخلية,2024-04-06,شركة البحر الأحمر الدولية,القصيم,Medium
117,اللياسة الخارجية,2023-06-17,شركة المباني,جازان,Low
118,تركيب الواجهات الزجاجية,2024-10-24,شركة المقاولون العرب,عسير,Medium
119,أعمال المباني (الطوب),2024-08-06,شركة نسما للمقاولات,تبوك,Medium
120,أعمال الحفر والردم,2024-07-16,شركة الفنار,جازان,Low
121,تبليط الحوش والأسوار,2023-06-02,شركة البحر الأحمر الدولية,الحدود الشمالية,Medium
122,تركيب البلاط والرخام,2023-01-25,شركة الفنار,الجوف,Medium
123,بناء جدران القبو,2024-05-03,شركة الفنار,الرياض,Low
124,تركيب المصاعد,2022-10-01,شركة دريك آند سكل,المنطقة الشرقية,Low
125,الدهانات النهائية,2023-11-18,شركة راشد الراشد,جازان,Low
126,تركيب الواجهات الزجاجية,2022-04-10,شركة المقاولون العرب,نجران,Medium
127,تركيب البلاط والرخام,2023-12-23,شركة الكفاح للمقاولات,عسير,Low
128,أعمال الحفر والردم,2022-09-18,مجموعة بن لادن السعودية,حائل,High
129,اللياسة الخارجية,2023-11-22,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,Low
130,صب الخرسانة العادية للأساسات,2024-05-11,شركة روشن العقارية,حائل,High
131,أعمال العزل المائي للسطح,2022-10-05,شركة نسما للمقاولات,مكة المكرمة,Medium
132,أعمال اللاندسكيب والتشجير,2023-11-19,شركة راشد الراشد,القصيم,Medium
133,صب أعمدة الدور الأرضي,2022-11-20,شركة الفوزان للتجارة والمقاولات,الحدود الشمالية,Medium
134,الدهانات النهائية,2023-12-06,مؤسسة بن سمار للمقاولات,الباحة,Medium
135,تركيب الأدوات الصحية,2022-05-19,شركة دريك آند سكل,تبوك,Medium
136,صب الخرسانة العادية للأساسات,2022-06-28,شركة جرير للمقاولات,الحدود الشمالية,Medium
137,أعمال الدهانات الأولية,2023-04-09,شركة أرامكو السعودية (إشراف/تنفيذ),الحدود الشمالية,Medium
138,أعمال التكييف المركزي,2023-04-19,شركة جرير للمقاولات,الرياض,High
139,صب سقف الدور الأرضي,2024-01-02,مجموعة بن لادن السعودية,الباحة,High
140,تركيب النوافذ والأبواب,2024-12-27,شركة المباني,نجران,High
141,صب سقف الدور الأرضي,2024-02-08,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,Medium
142,أعمال المباني (الطوب),2023-08-16,شركة الفنار,حائل,Low
143,تركيب المصاعد,2022-03-11,شركة روشن العقارية,الباحة,High
144,تأسيس السباكة والكهرباء,2024-01-08,شركة العيوني للاستثمار والمقاولات,تبوك,Low
145,تركيب الأدوات الصحية,2022-02-28,شركة السيف للمقاولات الهندسية,المنطقة الشرقية,Medium
146,صب أعمدة الدور الأرضي,2024-04-13,شركة السيف للمقاولات الهندسية,حائل,High
147,أعمال المباني (الطوب),2023-06-28,شركة السيف للمقاولات الهندسية,الحدود الشمالية,Medium
148,صب سقف الدور الأرضي,2023-02-23,شركة جرير للمقاولات,الباحة,High
149,اللياسة الداخلية,2023-03-19,شركة الكفاح للمقاولات,المدينة المنورة,High
150,صب الخرسانة العادية للأساسات,2022-05-20,شركة الخضري للمقاولات,المنطقة الشرقية,High
151,أعمال الدهانات الأولية,2023-06-09,شركة الفنار,حائل,Low
152,صب الخرسانة المسلحة للقواعد,2023-08-17,شركة العيوني للاستثمار والمقاولات,تبوك,High
153,اللياسة الداخلية,2023-10-21,شركة راشد الراشد,نجران,High
154,عزل القواعد والرقاب,2022-08-09,مؤسسة بن سمار للمقاولات,الرياض,Low
155,عزل القواعد والرقاب,2022-03-04,شركة السيف للمقاولات الهندسية,المنطقة الشرقية,Medium
156,أعمال الدهانات الأولية,2023-10-13,شركة المقاولون العرب,جازان,Medium
157,صب الخرسانة العادية للأساسات,2023-03-18,شركة أرامكو السعودية (إشراف/تنفيذ),نجران,Medium
158,صب أعمدة الدور الأرضي,2023-01-16,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,High
159,تبليط الحوش والأسوار,2022-05-28,شركة الخضري للمقاولات,جازان,High
160,أعمال اللاندسكيب والتشجير,2022-11-13,شركة الفنار,الجوف,Low
161,أعمال اللاندسكيب والتشجير,2022-03-23,شركة العيوني للاستثمار والمقاولات,نجران,Medium
162,تركيب البلاط والرخام,2022-05-21,شركة الفنار,المنطقة الشرقية,Low
163,أعمال الدهانات الأولية,2024-07-26,شركة المقاولون العرب,الباحة,Low
164,صب الخرسانة العادية للأساسات,2024-10-07,شركة أرامكو السعودية (إشراف/تنفيذ),نجران,Medium
165,اللياسة الخارجية,2024-10-05,شركة نسما للمقاولات,مكة المكرمة,High
166,أعمال الدهانات الأولية,2024-11-27,شركة البحر الأحمر الدولية,المدينة المنورة,Low
167,تركيب المصاعد,2023-08-19,شركة الفوزان للتجارة والمقاولات,تبوك,High
168,الدهانات النهائية,2024-01-10,شركة أرامكو السعودية (إشراف/تنفيذ),الحدود الشمالية,Low
169,أعمال اللاندسكيب والتشجير,2022-09-23,شركة شابورجي بالونجي,جازان,Low
170,صب أعمدة الدور الأرضي,2024-07-22,شركة الفنار,المنطقة الشرقية,Medium
171,أعمال التكييف المركزي,2023-04-17,مجموعة بن لادن السعودية,حائل,High
172,اللياسة الداخلية,2024-02-19,شركة المقاولون العرب,المدينة المنورة,High
173,تركيب الأدوات الصحية,2024-07-02,شركة الفنار,نجران,High
174,الدهانات النهائية,2022-07-30,مجموعة بن لادن السعودية,مكة المكرمة,Medium
175,اللياسة الخارجية,2024-02-16,شركة الخضري للمقاولات,عسير,Low
176,تركيب البلاط والرخام,2024-09-10,شركة المقاولون العرب,المنطقة الشرقية,Medium
177,تركيب أنظمة الحريق,2023-01-17,شركة جرير للمقاولات,الحدود الشمالية,Low
178,تركيب النوافذ والأبواب,2023-12-28,شركة شابورجي بالونجي,عسير,Low
179,صب الخرسانة المسلحة للقواعد,2024-08-26,شركة شابورجي بالونجي,الباحة,Medium
180,أعمال الحفر والردم,2022-04-01,شركة المقاولون العرب,تبوك,Low
181,أعمال الديكور والجبس,2022-07-20,مؤسسة بن سمار للمقاولات,نجران,Medium
182,أعمال اللاندسكيب والتشجير,2022-10-21,شركة السيف للمقاولات الهندسية,المدينة المنورة,High
183,صب أعمدة الدور الأرضي,2022-09-28,شركة راشد الراشد,الجوف,Medium
184,أعمال التكييف المركزي,2024-03-27,شركة جرير للمقاولات,الرياض,High
185,تركيب الأدوات الصحية,2024-11-28,شركة راشد الراشد,الباحة,High
186,صب الخرسانة العادية للأساسات,2022-03-06,شركة نسما للمقاولات,تبوك,High
187,أعمال الدهانات الأولية,2024-06-01,شركة الكفاح للمقاولات,الرياض,Medium
188,أعمال اللاندسكيب والتشجير,2024-12-08,شركة دريك آند سكل,عسير,Low
189,تركيب أنظمة الحريق,2024-10-25,شركة الكفاح للمقاولات,الرياض,Low
190,تركيب البلاط والرخام,2022-02-22,شركة دريك آند سكل,جازان,Medium
191,تركيب الواجهات الزجاجية,2024-11-02,شركة أرامكو السعودية (إشراف/تنفيذ),جازان,Medium
192,أعمال الديكور والجبس,2024-08-11,شركة الفنار,عسير,High
193,أعمال الحفر والردم,2023-12-28,شركة الخضري للمقاولات,مكة المكرمة,Medium
194,عزل القواعد والرقاب,2023-01-24,شركة المقاولون العرب,جازان,Low
195,أعمال اللاندسكيب والتشجير,2024-05-20,شركة الخضري للمقاولات,المدينة المنورة,Low
196,تركيب أنظمة الحريق,2022-02-07,شركة الفوزان للتجارة والمقاولات,حائل,Medium
197,أعمال الحفر والردم,2024-12-28,شركة نسما للمقاولات,تبوك,Medium
198,تركيب الواجهات الزجاجية,2024-03-18,شركة المباني,مكة المكرمة,High
199,تأسيس السباكة والكهرباء,2024-07-01,شركة أرامكو السعودية (إشراف/تنفيذ),المنطقة الشرقية,Medium
200,الدهانات النهائية,2024-08-01,شركة العيوني للاستثمار والمقاولات,نجران,Low
201,تركيب النوافذ والأبواب,2022-12-31,شركة المقاولون العرب,القصيم,High
202,أعمال الدهانات الأولية,2024-01-01,شركة البحر الأحمر الدولية,الجوف,Low
203,تركيب الأدوات الصحية,2024-10-25,شركة راشد الراشد,مكة المكرمة,Low
204,تأسيس السباكة والكهرباء,2024-03-03,شركة المقاولون العرب,المنطقة الشرقية,Medium
205,تركيب النوافذ والأبواب,2022-07-11,مجموعة بن لادن السعودية,عسير,Medium
206,تبليط الحوش والأسوار,2023-03-25,شركة الكفاح للمقاولات,حائل,High
207,أعمال الحفر والردم,2024-09-18,شركة الخضري للمقاولات,نجران,Low
208,أعمال التكييف المركزي,2024-07-02,شركة الكفاح للمقاولات,جازان,High
209,بناء جدران القبو,2024-05-20,شركة البحر الأحمر الدولية,جازان,High
210,تأسيس السباكة والكهرباء,2024-10-04,شركة روشن العقارية,مكة المكرمة,Low
211,اللياسة الداخلية,2024-09-25,شركة الخضري للمقاولات,الباحة,Low
212,تركيب أنظمة الحريق,2023-02-22,شركة جرير للمقاولات,مكة المكرمة,High
213,أعمال المباني (الطوب),2024-06-06,شركة جرير للمقاولات,الباحة,Medium
214,اللياسة الداخلية,2022-10-20,شركة نسما للمقاولات,الجوف,Medium
215,صب أعمدة الدور الأرضي,2024-07-29,مجموعة بن لادن السعودية,الباحة,High
216,صب سقف الدور الأرضي,2022-12-30,شركة راشد الراشد,الرياض,Medium
217,تركيب الأدوات الصحية,2024-04-10,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,Low
218,تركيب الأدوات الصحية,2023-11-20,شركة السيف للمقاولات الهندسية,نجران,High
219,صب سقف الدور الأرضي,2023-01-02,شركة الفوزان للتجارة والمقاولات,عسير,Medium
220,صب الخرسانة المسلحة للقواعد,2024-08-05,شركة راشد الراشد,الجوف,High
221,تأسيس السباكة والكهرباء,2022-12-20,شركة العيوني للاستثمار والمقاولات,تبوك,Low
222,تبليط الحوش والأسوار,2022-02-11,شركة المباني,المنطقة الشرقية,High
223,تركيب النوافذ والأبواب,2023-12-14,مجموعة بن لادن السعودية,مكة المكرمة,Medium
224,تركيب الواجهات الزجاجية,2023-03-04,شركة المقاولون العرب,الجوف,High
225,صب الخرسانة العادية للأساسات,2024-06-26,شركة السيف للمقاولات الهندسية,المدينة المنورة,Medium
226,تبليط الحوش والأسوار,2023-05-05,مؤسسة بن سمار للمقاولات,الحدود الشمالية,Medium
227,الدهانات النهائية,2023-08-06,شركة الكفاح للمقاولات,جازان,Low
228,تأسيس السباكة والكهرباء,2023-12-21,مؤسسة بن سمار للمقاولات,الرياض,Medium
229,صب سقف الدور الأرضي,2023-08-15,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,High
230,أعمال العزل المائي للسطح,2023-09-16,شركة روشن العقارية,المنطقة الشرقية,Low
231,أعمال الحفر والردم,2024-11-07,شركة راشد الراشد,المنطقة الشرقية,High
232,اللياسة الخارجية,2024-09-25,شركة المباني,حائل,Low
233,أعمال المباني (الطوب),2024-10-03,شركة روشن العقارية,الرياض,Medium
234,تركيب الواجهات الزجاجية,2022-04-13,شركة جرير للمقاولات,عسير,High
235,صب أعمدة الدور الأرضي,2024-06-14,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,Medium
236,أعمال المباني (الطوب),2023-07-09,شركة جرير للمقاولات,المدينة المنورة,Medium
237,صب سقف الدور الأرضي,2022-03-17,شركة جرير للمقاولات,حائل,High
238,تركيب أنظمة الحريق,2023-06-15,شركة الفنار,الجوف,Medium
239,أعمال العزل المائي للسطح,2023-05-25,مجموعة بن لادن السعودية,تبوك,Medium
240,تركيب الواجهات الزجاجية,2022-04-23,مؤسسة بن سمار للمقاولات,القصيم,High
241,أعمال الديكور والجبس,2024-07-06,شركة الخضري للمقاولات,الجوف,Low
242,أعمال الدهانات الأولية,2023-06-26,مجموعة بن لادن السعودية,المدينة المنورة,Medium
243,أعمال الدهانات الأولية,2022-01-19,شركة الخضري للمقاولات,الحدود الشمالية,Medium
244,صب سقف الدور الأرضي,2023-12-28,شركة المقاولون العرب,جازان,Medium
245,اللياسة الخارجية,2022-05-03,شركة السيف للمقاولات الهندسية,القصيم,High
246,تركيب المصاعد,2022-12-28,شركة جرير للمقاولات,نجران,Low
247,أعمال الحفر والردم,2023-07-25,شركة أرامكو السعودية (إشراف/تنفيذ),المنطقة الشرقية,High
248,صب الخرسانة العادية للأساسات,2023-12-16,شركة أرامكو السعودية (إشراف/تنفيذ),مكة المكرمة,High
249,تركيب الأدوات الصحية,2024-04-28,شركة نسما للمقاولات,الباحة,Medium
250,تركيب المصاعد,2022-07-09,شركة شابورجي بالونجي,القصيم,High
251,تأسيس السباكة والكهرباء,2023-07-03,شركة جرير للمقاولات,الباحة,High
252,تبليط الحوش والأسوار,2022-11-21,شركة المقاولون العرب,جازان,Low
253,صب أعمدة الدور الأرضي,2022-08-19,شركة راشد الراشد,الحدود الشمالية,High
254,الدهانات النهائية,2024-05-24,شركة المقاولون العرب,الحدود الشمالية,Medium
255,تركيب الواجهات الزجاجية,2023-02-27,شركة المقاولون العرب,المنطقة الشرقية,Medium
256,صب أعمدة الدور الأرضي,2022-05-18,شركة شابورجي بالونجي,الحدود الشمالية,Medium
257,صب الخرسانة العادية للأساسات,2022-12-23,شركة الفنار,الجوف,High
258,تركيب الأدوات الصحية,2023-02-03,شركة العيوني للاستثمار والمقاولات,الباحة,Medium
259,اللياسة الداخلية,2023-03-24,شركة الفوزان للتجارة والمقاولات,المنطقة الشرقية,Low
260,أعمال العزل المائي للسطح,2024-11-04,شركة المقاولون العرب,جازان,Low
261,أعمال الديكور والجبس,2024-04-17,شركة دريك آند سكل,الحدود الشمالية,Low
262,تركيب المصاعد,2022-01-27,شركة السيف للمقاولات الهندسية,حائل,High
263,تركيب المصاعد,2024-07-04,شركة الفنار,الرياض,High
264,أعمال اللاندسكيب والتشجير,2024-04-25,شركة جرير للمقاولات,الحدود الشمالية,Low
265,صب الخرسانة المسلحة للقواعد,2023-09-04,شركة راشد الراشد,جازان,High
266,تأسيس السباكة والكهرباء,2023-12-20,شركة الكفاح للمقاولات,الحدود الشمالية,Medium
267,الدهانات النهائية,2024-07-06,شركة العيوني للاستثمار والمقاولات,الجوف,Medium
268,اللياسة الخارجية,2022-05-12,شركة الفوزان للتجارة والمقاولات,حائل,Low
269,أعمال الدهانات الأولية,2022-03-29,مؤسسة بن سمار للمقاولات,تبوك,Medium
270,أعمال الديكور والجبس,2022-10-03,شركة روشن العقارية,نجران,Medium
271,صب الخرسانة العادية للأساسات,2023-11-20,شركة السيف للمقاولات الهندسية,مكة المكرمة,High
272,بناء جدران القبو,2022-12-04,مؤسسة بن سمار للمقاولات,المدينة المنورة,Low
273,تأسيس السباكة والكهرباء,2023-03-07,شركة المقاولون العرب,المدينة المنورة,High
274,بناء جدران القبو,2023-01-18,شركة الخضري للمقاولات,حائل,Low
275,أعمال العزل المائي للسطح,2023-03-29,شركة راشد الراشد,المنطقة الشرقية,Medium
276,أعمال المباني (الطوب),2024-09-14,شركة الكفاح للمقاولات,المدينة المنورة,Medium
277,الدهانات النهائية,2023-08-03,شركة الخضري للمقاولات,الجوف,Low
278,أعمال التكييف المركزي,2022-04-16,شركة المباني,القصيم,Medium
279,صب الخرسانة العادية للأساسات,2024-03-22,شركة الكفاح للمقاولات,تبوك,Medium
280,صب سقف الدور الأرضي,2022-07-03,شركة جرير للمقاولات,الباحة,Medium
281,أعمال التكييف المركزي,2024-03-28,شركة الفوزان للتجارة والمقاولات,القصيم,Medium
282,صب أعمدة الدور الأرضي,2023-07-30,شركة المقاولون العرب,الجوف,High
283,الدهانات النهائية,2024-03-21,مؤسسة بن سمار للمقاولات,الباحة,Medium
284,اللياسة الداخلية,2023-10-15,شركة شابورجي بالونجي,مكة المكرمة,High
285,صب أعمدة الدور الأرضي,2024-11-11,شركة العيوني للاستثمار والمقاولات,نجران,Medium
286,تركيب الواجهات الزجاجية,2024-09-27,شركة المقاولون العرب,القصيم,High
287,تبليط الحوش والأسوار,2024-05-02,شركة المباني,نجران,Low
288,تأسيس السباكة والكهرباء,2023-06-22,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,High
289,أعمال التكييف المركزي,2022-07-21,شركة الفوزان للتجارة والمقاولات,المنطقة الشرقية,High
290,صب سقف الدور الأرضي,2024-06-14,شركة المقاولون العرب,المنطقة الشرقية,Medium
291,صب الخرسانة العادية للأساسات,2023-04-12,مؤسسة بن سمار للمقاولات,الرياض,High
292,اللياسة الخارجية,2024-04-12,شركة الفنار,حائل,High
293,اللياسة الخارجية,2023-12-13,شركة البحر الأحمر الدولية,حائل,Medium
294,تركيب أنظمة الحريق,2024-12-29,شركة شابورجي بالونجي,المنطقة الشرقية,Low
295,صب سقف الدور الأرضي,2022-04-08,شركة المباني,الجوف,Medium
296,صب أعمدة الدور الأرضي,2024-05-30,شركة راشد الراشد,الجوف,High
297,صب الخرسانة المسلحة للقواعد,2023-11-21,شركة الفوزان للتجارة والمقاولات,المنطقة الشرقية,Medium
298,أعمال الدهانات الأولية,2025-01-02,مؤسسة بن سمار للمقاولات,حائل,Low
299,بناء جدران القبو,2024-03-14,مؤسسة بن سمار للمقاولات,مكة المكرمة,Medium
